onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
32.082	n/a	16041	symbolSearch_start	92	n/a	n/a
34.982	n/a	17491	newPage	20	n/a	n/a
42.528	n/a	21264	trialResponse	14	0	0
63.892	n/a	31946	trialResponse	14	0	1
72.954	n/a	36477	trialResponse	14	0	0
86.868	n/a	43434	trialResponse	14	0	0
96.978	n/a	48489	trialResponse	14	0	0
111.966	n/a	55983	trialResponse	14	1	1
125.996	n/a	62998	trialResponse	14	0	0
153.114	n/a	76557	trialResponse	14	1	1
170.514	n/a	85257	trialResponse	14	0	0
170.526	n/a	85263	newPage	20	n/a	n/a
180.035	n/a	90017.5	boundary	boundary	n/a	n/a
