Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAA306NT2,123966,84,1,n/a
NDARAA504CRN,152687,75,1,n/a
NDARAB514MAJ,131380,77,1,n/a
NDARAB977GFB,131979,77,1,n/a
NDARAD571FLB,232532,96,1,n/a
NDARAF003VCL,123151,76,1,n/a
NDARAG191AE8,168507,135,1,n/a
NDARAG610XL4,NaN,NaN,0,n/a
NDARAH976BND,121221,77,1,n/a
NDARAJ977PRJ,121028,75,1,n/a
NDARAN524ZK6,179703,61,1,n/a
NDARAN934AZL,90121,71,1,n/a
NDARAP912JK3,131688,77,1,n/a
NDARAR305LXG,170649,74,1,n/a
NDARAT709MMX,114278,74,1,n/a
NDARAV454VF0,199289,88,1,n/a
NDARAY298THW,137471,75,1,n/a
NDARBD370RBY,123831,78,1,n/a
NDARBJ375VP4,117562,76,1,n/a
NDARBL242L4H,120548,76,1,n/a
NDARBT436PMT,124666,76,1,n/a
NDARBV630BK6,136279,73,1,n/a
NDARCA050RZL,125547,80,1,n/a
NDARCB627KDN,119835,76,1,n/a
NDARCC059WTH,173288,80,1,n/a
NDARCC101PA9,106077,76,1,n/a
NDARCC824FCL,156152,86,1,n/a
NDARCJ330NBP,121450,74,1,n/a
NDARCM050BN2,145202,122,1,n/a
NDARCM953HKD,121366,82,1,n/a
NDARCN681CXW,148847,90,1,n/a
NDARCR715LEY,186832,83,1,n/a
NDARCT889DMB,142422,78,1,n/a
NDARCV440TRV,136383,78,1,n/a
NDARCV628NRY,NaN,NaN,0,n/a
NDARCX505WVX,124195,77,1,n/a
NDARDE502TEU,NaN,NaN,0,n/a
NDARDF560NND,122585,76,1,n/a
NDARDJ204EPU,121283,81,1,n/a
NDARDJ544BU5,217391,72,1,n/a
NDARDP292DVC,118963,77,1,n/a
NDARDP725ZVY,NaN,NaN,0,n/a
NDARDV648WB5,124934,75,1,n/a
NDARDW178AC6,128925,81,1,n/a
NDAREB303XDC,139740,84,1,n/a
NDARED010UML,NaN,NaN,0,n/a
NDAREF074ZAQ,120287,78,1,n/a
NDAREG013BLG,121997,97,1,n/a
NDARET558NB3,NaN,NaN,0,n/a
NDARET888KD2,141747,77,1,n/a
NDAREV372WDG,117476,85,1,n/a
NDARFD069AW7,123349,77,1,n/a
NDARFJ988HKR,200708,75,1,n/a
NDARFK819TD5,123838,77,1,n/a
NDARFP243NWY,NaN,NaN,0,n/a
NDARFP503KJF,122123,76,1,n/a
NDARFP813TL5,155983,97,1,n/a
NDARFV725LGA,116484,76,1,n/a
NDARFW100ZXX,151317,77,1,n/a
NDARFW506ZZ0,120064,99,1,n/a
NDARFW669WJ9,130224,80,1,n/a
NDARGB060TAM,NaN,NaN,0,n/a
NDARGC255BUN,114575,76,1,n/a
NDARGM258RZU,126209,77,1,n/a
NDARGM421YWQ,154205,82,1,n/a
NDARGN210CK7,NaN,NaN,0,n/a
NDARGU829GZ4,139537,74,1,n/a
NDARGV263ZRY,148250,78,1,n/a
NDARGZ116HTR,114444,98,1,n/a
NDARHD276TYX,122119,77,1,n/a
NDARHN911CNJ,161575,88,1,n/a
NDARHU529JHV,120023,77,1,n/a
NDARHX252NVH,116881,73,1,n/a
NDARJA315FUQ,NaN,NaN,0,n/a
NDARJC463HCM,135120,67,1,n/a
NDARJD142DHR,NaN,NaN,0,n/a
NDARJH910CGX,170273,77,1,n/a
NDARJJ216EGT,121101,76,1,n/a
NDARJK147LNJ,NaN,NaN,0,n/a
NDARJK154PF5,120545,80,1,n/a
NDARJL656RDA,148944,69,1,n/a
NDARJR280FEJ,254447,75,1,n/a
NDARJV547LA3,NaN,NaN,0,n/a
NDARJW072UJ3,115847,74,1,n/a
NDARJW503GA0,NaN,NaN,0,n/a
NDARJX121GKP,121065,87,1,n/a
NDARJY577WNJ,115540,81,1,n/a
NDARKD590VF4,NaN,NaN,0,n/a
NDARKH944KVE,NaN,NaN,0,n/a
NDARKL223LLF,118150,78,1,n/a
NDARKM718VKX,166512,97,1,n/a
NDARKN742LEV,207095,78,1,n/a
NDARKT540ZW0,121286,72,1,n/a
NDARKU726AB4,854003,77,1,n/a
NDARKZ949UAL,135466,74,1,n/a
NDARLA226ADX,174037,102,1,n/a
NDARLA457ELH,NaN,NaN,0,n/a
NDARLE335PRN,125314,78,1,n/a
NDARLE412VD5,118783,78,1,n/a
NDARLE849LCR,147304,81,1,n/a
NDARLH043YDK,125344,73,1,n/a
NDARLH423CR7,132788,81,1,n/a
NDARLP417RC6,162363,75,1,n/a
NDARLR924YAV,123690,78,1,n/a
NDARMB290GPL,159109,76,1,n/a
NDARMC694YF3,126870,82,1,n/a
NDARMF560MUH,105094,76,1,n/a
NDARMF846EVR,138041,67,1,n/a
NDARMG263JRX,NaN,NaN,0,n/a
NDARMJ333WJM,136840,77,1,n/a
NDARMJ845MJA,127663,82,1,n/a
NDARML626PGU,294010,129,1,n/a
NDARMR134HUY,164831,78,1,n/a
NDARMZ119VPH,181797,80,1,n/a
NDARNA421FL7,117686,77,1,n/a
NDARNB390JL3,143830,82,1,n/a
NDARNC130ZLK,175050,71,1,n/a
NDARNC489BX5,130280,87,1,n/a
NDARND604TNB,116306,77,1,n/a
NDARND805ZTP,119854,77,1,n/a
NDARNT205ZKP,118999,81,1,n/a
NDARNT898ZPF,105149,76,1,n/a
NDARNU411FDE,NaN,NaN,0,n/a
NDARNV983DET,NaN,NaN,0,n/a
NDARNW099DC7,116941,76,1,n/a
NDARNX050XBN,NaN,NaN,0,n/a
NDARNZ084JVC,141383,77,1,n/a
NDARPC301UWR,156722,76,1,n/a
NDARPC745LTD,120494,74,1,n/a
NDARPE830YU0,115280,76,1,n/a
NDARPJ001BVE,117340,73,1,n/a
NDARPJ691NEU,117507,76,1,n/a
NDARPK597XH0,177152,70,1,n/a
NDARPL406KX4,116182,78,1,n/a
NDARRE063LG2,107481,77,1,n/a
NDARRH199NCH,123076,81,1,n/a
NDARRL030XD8,150925,80,1,n/a
NDARRR595LRJ,123124,76,1,n/a
NDARRU820CXW,117041,84,1,n/a
NDARRV002MA8,225831,73,1,n/a
NDARRX084UML,157278,75,1,n/a
NDARRX552PP2,122415,76,1,n/a
